UID;KSEF_REF;KSEF_DATA;SYMBOL;NAZWA_SKR;NAZWA_PEL;ADRES;KRAJ;KOD;MIASTO;NIP_KOD;NIP;NUMER_DOK;DATA_DOK;L_FAKT;LPARA;LFISK;FAKTURA;DATA_FAKT;WARTOSC_Z;WARTOSC_R;FORMA_P;TERMIN_P;FAKTURA_MP;NETTO22;VAT22;NETTO12;VAT12;NETTO07;VAT07;NETTO03;VAT03;NETTO0;NETTOZWOL;NETTO_NP;TYP_FAKT;NOTATKI;NETTO81;VAT81;NETTO82;VAT82;NETTO83;VAT83;NETTO84;VAT84;BEZODL;UWAGI;DATA_DOST;WALUTA;KURS;TABELA;TABELA_D;CENA_BRT;NETTO;BRUTTO;VAT;OZN_VAT;GTU_01;GTU_02;GTU_03;GTU_04;GTU_05;GTU_06;GTU_07;GTU_08;GTU_09;GTU_10;GTU_11;GTU_12;GTU_13;SW;EE;WSTO_EE;IED;TP;TT_WNT;TT_D;MR_T;MR_UZ;I_42;I_63;B_SPV;B_SPV_DOST;B_MPV_PROW;ZLY_DLUG
;;;"FA";"Simple Paweł Kosieradzki";"Simple Paweł Kosieradzki";"Nowa Iwiczna ul. Torowa 10";;"05-500";"Piaseczno";;"5211060556";"FA 00001/01/2020";2020-01-13;1;0;0;"00001/01/2020";2020-01-13;0.00;0.00;"Przelew  14 dni";2020-01-27;0;2400.00;552.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-13;"PLN";1.0000;;;0;2400.00;2952.00;552.00;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Logwin";"Logwin Poland Sp. z o.o.";"ul. Jana Pawła II 66";;"05-500";"Piaseczno";;"123-09-97-262";"FA 00002/01/2020";2020-01-13;1;0;0;"00002/01/2020";2020-01-13;0.00;0.00;"Przelew  14 dni";2020-01-27;0;350.00;80.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-13;"PLN";1.0000;;;0;350.00;430.50;80.50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Explo Service";"Explo Service K.Jędrzejczak, J. Wojciechowski Sp.Jawna";"ul.Kościuszki 9";;"02-495";"Warszawa";;"522-121-08-56";"FA 00003/01/2020";2020-01-13;1;0;0;"00003/01/2020";2020-01-13;0.00;0.00;"Przelew  14 dni";2020-01-27;0;2000.00;460.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-13;"PLN";1.0000;;;0;2000.00;2460.00;460.00;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Emskiego";"Emskiego  Stanisławski Marcin";"ul. Rajdowa 10";;"05-850";"Konotopa";;"538-162-84-35";"FA 00004/01/2020";2020-01-13;1;0;0;"00004/01/2020";2020-01-13;0.00;0.00;"Przelew  14 dni";2020-01-27;0;850.00;195.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-13;"PLN";1.0000;;;0;850.00;1045.50;195.50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Chester PW";"Chester PW Rajaca Roman";"ul. Ordona 2a";;"01-237";"Warszawa";;"5270154023";"FA 00005/01/2020";2020-01-13;1;0;0;"00005/01/2020";2020-01-13;0.00;0.00;"Przelew  14 dni";2020-01-27;0;1100.00;253.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-13;"PLN";1.0000;;;0;1100.00;1353.00;253.00;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Zofia i Adam Połaska";"Zofia i Adam Połaska";"ul. Raszyńska 16/45";;"05-500";"Piaseczno";;;"FA 00006/01/2020";2020-01-13;1;0;0;"00006/01/2020";2020-01-13;4450.00;0.00;"gotówka";2020-01-13;0;0.00;0.00;0.00;0.00;4120.37;329.63;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-13;"PLN";1.0000;;;0;4120.37;4450.00;329.63;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Ewa Marcinkowska";"Ewa Marcinkowska";"ul. Staszica 42 m 27";;"05-500";"Piaseczno";;;"FA 00007/01/2020";2020-01-17;1;0;0;"00007/01/2020";2020-01-17;0.00;0.00;"Przelew 7 dni";2020-01-24;0;0.00;0.00;0.00;0.00;6700.00;536.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-17;"PLN";1.0000;;;0;6700.00;7236.00;536.00;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Ministerstwo";"Ministerstwo Rolnictwa i Rozwoju Wsi";"ul. Wspólna 30";;"00-930";"Warszawa";;"526-12-81-638";"FA 00010/01/2020";2020-01-17;1;0;0;"00010/01/2020";2020-01-22;0.00;0.00;"Przelew  14 dni";2020-02-05;0;1057.00;243.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-17;"PLN";1.0000;;;0;1057.00;1300.11;243.11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"CMP centrum medyczne";"Centrum Medyczne Puławska  Sp. z o.o.";"ul. Puławska 49";;"05-500";"Piaseczno";;"123-09-55-789";"FA 00008/01/2020";2020-01-20;1;0;0;"00008/01/2020";2020-01-20;0.00;0.00;"Przelew  14 dni";2020-02-03;0;250.00;57.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-20;"PLN";1.0000;;;0;250.00;307.50;57.50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;"FA";"Dao Duc Thin";"Dao Duc Thinh";"ul. Nadrzeczna 5";;"05-090";"Raszyn";;;"FA 00009/01/2020";2020-01-22;1;0;0;"00009/01/2020";2020-01-22;3500.00;0.00;"gotówka";2020-01-22;0;0.00;0.00;0.00;0.00;3240.74;259.26;0.00;0.00;0.00;0.00;0.00;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;2020-01-22;"PLN";1.0000;;;0;3240.74;3500.00;259.26;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
